player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
9973,br,Felipe,31, D(C),178,78,26,0.0,2146,1,1,11,1,0.4,76.8,2,2.7,7.04,2.6,3.3,1.6,0.4,3.6,0.6,0.5,0.0,0.2,0.6,0,0.2,0.3,0.2,32.7,76.8,0.1,2.3,Udinese,SerieA
13154,fr,Cyril Théréau,33," AM(C),FW",189,78,34,2,2904,11,3,2,1,2.1,77.7,5,2.6,7.03,0.8,0.5,0.8,0,0.6,0.5,0.1,0,1.4,1.8,0.8,1.2,2.5,1.4,32.4,77.7,0.3,0.6,Udinese,SerieA
135198,iq,Ali Adnan,22," D(L),M(L)",185,71,21,7,1903,1,1,6,0,0.8,70.4,0,1.9,6.97,2.1,1.5,1.4,0.2,2,1,0.2,0.0,0.8,1,0.1,0.9,0.5,0.8,22.8,70.4,0.9,1.3,Udinese,SerieA
123761,pt,Bruno Fernandes,21, AM(CL),172,62,24,7,2115,3,4,7,1,1.7,75.4,2,0.5,6.90,1.5,1.5,0.8,0,0.6,0.9,0.2,0,1.4,1.5,0,0.9,1,1.4,32.4,75.4,0.9,2.3,Udinese,SerieA
102044,br,Guilherme,25, M(C),178,78,4,1,339,0,0,1,0,1.2,80,0,1.8,6.85,1.2,1.6,1.6,0.2,0.8,2,1,0,1.2,1.2,0,0.8,0.6,1.2,43,80,1,4,Udinese,SerieA
105339,ml,Molla Wagué,25, D(C),181,77,20,1,1691,0,0,5,1,0.5,80.6,1,2.1,6.81,1.8,2.7,1.5,0.6,4.7,0,0.6,0.0,0.2,0.9,0,0.1,0.3,0.2,28.8,80.6,0,1.3,Udinese,SerieA
83205,gh,Emmanuel Badu,25, DMC,173,69,30,3,2665,4,1,6,0,1.1,76.4,1,1.8,6.78,1.2,1.1,0.8,0.1,1,0.5,0.3,0,0.7,2.5,0.1,0.7,1.2,0.7,27,76.4,0.1,1.3,Udinese,SerieA
18727,br,Danilo,32, D(C),184,75,34,0,2947,0,0,9,2,0.4,72.7,0,2.2,6.75,1.1,2.5,1.2,0.7,4.8,0.3,1.1,0,0.1,0.8,0.1,0.1,0.1,0.1,35.2,72.7,0,4.5,Udinese,SerieA
77929,fr,Thomas Heurtaux,27, D(CR),184,78,10,5,1075,0,0,4,0,0.1,77.9,0,1.6,6.68,1.4,2.2,1.2,0.3,3.7,0.5,0.6,0,0.1,0.9,0,0.3,0.5,0.1,24.7,77.9,0,1.1,Udinese,SerieA
103622,ch,Silvan Widmer,23," D(R),M(R)",182,81,21,6,1904,0,2,4,0,0.9,68.4,0,1.2,6.68,1.5,1.3,1.2,0,1.6,0.5,0.2,0,0.6,1,0.1,0.6,0.6,0.6,22.5,68.4,0.5,1.1,Udinese,SerieA
83644,py,Iván Piris,27, D(CLR),174,68,20,7,1866,0,0,5,0,0.1,81.3,1,0.9,6.65,1.7,3,1.3,0.3,2.8,0.7,0.4,0.0,0.1,0.6,0,0.3,0.4,0.1,27.5,81.3,0.3,2.4,Udinese,SerieA
41073,co,Duván Zapata,25, FW,189,80,15,10,1515,8,2,5,0,2.1,67.2,1,2.1,6.63,0.2,0.4,1.7,0,0.6,0.2,0.1,0,0.5,1.8,0.4,1.4,2.6,0.5,12.2,67.2,0.2,0.2,Udinese,SerieA
11624,gr,Orestis Karnezis,30, GK,189,79,38,0,3420,0,0,0,0,0,48.7,1,0.2,6.62,0,0.1,0,0,0.5,0,0,0,0,0.1,0,0,0,0,24.8,48.7,0,7.9,Udinese,SerieA
23083,gr,Panagiotis Kone,28, M(CLR),184,75,2,3,229,0,1,0,1,2,89.5,0,1,6.61,1.6,1,1.8,0,0.2,1,0.2,0,1,1.4,0.2,0,1,1,22.8,89.5,0.4,2.2,Udinese,SerieA
10334,it,Francesco Lodi,32, M(C),183,70,20,4,1871,1,1,3,0,1,81.3,1,0.5,6.60,0.8,1.8,0.8,0,0.5,0.8,0.2,0,1.3,0.4,0,0.4,0.7,1.3,51.9,81.3,1.2,6.1,Udinese,SerieA
24419,co,Pablo Armero,29," D(L),M(L)",174,81,5,0,419,1,0,0,0,0.4,69.7,0,0.2,6.60,1.6,2.2,2,0,2.2,1.2,0,1,0.4,1,0,0,1.2,0.4,24.4,69.7,0.8,2,Udinese,SerieA
102256,br,Edenílson,26," D(R),M(LR)",175,63,26,3,2214,0,0,3,0,0.4,75.7,0,0.4,6.58,1.7,1.6,0.9,0,1.2,0.9,0.1,0.0,0.7,0.9,0.2,0.9,1.3,0.7,30.1,75.7,0.7,1.5,Udinese,SerieA
18963,rs,Zdravko Kuzmanovic,28, M(C),185,83,13,3,1132,0,0,5,0,0.4,85.6,0,0.8,6.56,0.9,1.6,1.8,0.1,1.1,0.6,0.4,0,0.6,0.6,0.1,0.3,0.4,0.6,33.4,85.6,0.3,3.3,Udinese,SerieA
28721,cl,Manuel Iturra,31, DMC,172,74,14,3,1032,0,1,8,0,0.2,84.4,0,1.1,6.53,2.2,1.4,1.5,0,0.7,0.9,0.2,0.0,0.3,1.2,0.1,0.5,0.5,0.3,24.8,84.4,0.1,1.4,Udinese,SerieA
7323,is,Emil Hallfredsson,31, AM(C),186,83,7,4,661,0,0,3,0,0.5,76.3,0,0.7,6.46,1.8,1.5,2,0,1.3,1.8,0.4,0.0,0.5,0.8,0,0.5,0.6,0.5,21.1,76.3,0.5,1.1,Udinese,SerieA
4018,it,Antonio Di Natale,38, FW,170,70,12,11,1146,2,4,0,0,1.4,72.9,0,0.3,6.41,0.1,0.1,0.1,0,0,0.2,0,0,1,0.5,0.7,0.3,0.8,1,12.2,72.9,0.6,0.7,Udinese,SerieA
83220,kz,Alexander Merkel,24, AM(C),177,67,1,0,58,0,0,1,0,1,75,0,0,6.40,5,1,3,0.0,1,4,0.0,0.0,1,0,0,0,1,1,32,75,0,2,Udinese,SerieA
121282,hr,Stipe Perica,20, FW,192,76,5,6,463,2,0,1,0,1.4,64.6,1,0.7,6.33,0.1,0.2,1.2,0,0.3,0.4,0.1,0,0.3,0.9,0.2,0.9,1.7,0.3,8.7,64.6,0.1,0,Udinese,SerieA
40802,br,Marquinho,29, M(CL),182,79,4,7,446,0,0,3,0,0.7,78.4,0,0.5,6.33,0.8,1.3,0.8,0,0.6,1.3,0.3,0,0.5,0.7,0.1,0.5,0.5,0.5,18.1,78.4,0.2,0.4,Udinese,SerieA
5039,it,Giovanni Pasquale,34, M(L),182,72,2,4,233,0,0,2,0,0,71.4,0,0.5,6.29,1.2,1.3,0.7,0.3,0,0.2,0.2,0,0.2,0,0,0,0,0.2,14,71.4,0.3,0.5,Udinese,SerieA
121241,uy,Rodrigo Aguirre,21, Forward,184,75,3,7,335,0,1,1,0,0.7,67.6,0,0.5,6.17,0.3,0.2,1.1,0,0.1,0.4,0,0,0.6,1.1,0.6,0.6,1.4,0.6,6.8,67.6,0.1,0.2,Udinese,SerieA
106428,br,Ryder,23," AM(CR),FW",179,71,4,7,410,0,1,1,0,0.3,76.2,0,0.1,6.14,0.3,0.2,1.3,0,0.1,0.7,0,0,0.5,1.4,0.5,1.4,1,0.5,9.5,76.2,0.2,0,Udinese,SerieA
5680,it,Maurizio Domizzi,35, D(C),185,83,3,2,272,0,0,1,0,0.2,79.2,0,0.4,5.96,0.8,1.2,1.2,0.2,2.8,0,0,0,0.2,0.2,0,0.2,0,0.2,28.8,79.2,0,2,Udinese,SerieA
