player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
131337,br,Samir,21, D(C),188,80,3,0.0,270,1,0.0,1,0.0,0.7,77.2,1,2.7,7.50,2.7,5.3,0.3,0.7,5,0.7,0.3,0.0,0,0.7,0,0,0,0,26.3,77.2,0,1.7,Verona,SerieA
98140,it,Federico Viviani,24, DMC,180,75,17,2,1593,3,6,4,1,1.6,80.9,2,0.7,7.36,3,2.3,1.6,0.0,0.6,1.1,0.2,0.0,2.3,1.5,0,0.6,0.6,2.3,56.3,80.9,1.9,8.1,Verona,SerieA
67526,it,Eros Pisano,29," D(LR),M(R)",185,83,33,1,2906,5,0,7,0,0.6,69.1,0,1,6.86,2,1.6,1.2,0.4,3.3,0.4,0.6,0.0,0.7,1.3,0,0.8,0.4,0.7,32.7,69.1,1,3.1,Verona,SerieA
72935,md,Artur Ionita,25, AM(C),186,75,27,4,2383,4,2,2,0,1.2,80.2,1,1.7,6.81,2.3,1.7,2.1,0,0.5,1.2,0.1,0.0,0.8,1,0.1,1.3,0.9,0.8,26.8,80.2,0.1,0.7,Verona,SerieA
19940,gr,Vangelis Moras,34, D(C),193,78,30,1,2749,1,1,4,1,0.2,81.5,1,1.9,6.81,1.5,1.7,1,1.1,6.5,0.5,0.4,0.0,0.2,1,0,0.3,0.3,0.2,35.5,81.5,0,2.9,Verona,SerieA
79316,it,Luca Marrone,26," D(C),DMC",186,75,10,2,874,0,3,3,0,0.6,79.8,1,0.3,6.80,1.4,1.3,1.6,0,0.7,1.2,0.2,0.0,1.3,1.1,0,0.6,0.5,1.3,37.2,79.8,1.5,2,Verona,SerieA
60716,it,Michelangelo Albertazzi,25, D(L),186,73,9,1,708,0,0,4,0,0,67.8,0,0.9,6.77,1.9,1.9,1.6,0.1,2.4,0.4,0.5,0.0,0.4,0.3,0.1,0.2,0.4,0.4,22.7,67.8,0.8,1.9,Verona,SerieA
7323,is,Emil Hallfredsson,31, AM(C),186,83,15,1,1220,0,1,8,0,0.9,79.7,1,1.6,6.74,2.1,0.9,1.6,0.1,0.7,1.4,0,0.0,1.2,0.9,0,1.2,0.6,1.2,34.8,79.7,1,1.6,Verona,SerieA
105249,it,Matteo Bianchetti,23, D(C),189,80,17,6,1581,1,0,4,0,0.3,76.7,0,1.3,6.68,1.9,1.8,1.1,0.9,4.6,1,0.7,0.0,0.2,0.7,0,0,0.2,0.2,30.5,76.7,0.1,2.7,Verona,SerieA
93818,it,Jacopo Sala,24," D(R),M(CR)",185,72,17,1,1484,0,1,6,0,0.6,76.3,0,0.6,6.67,2.2,1.8,1.2,0.2,1.4,1.4,0.2,0.0,0.9,1.2,0.2,0.9,1.4,0.9,31.6,76.3,1.1,1.3,Verona,SerieA
